"Caso","F. De Reclamo","Direccion","Comuna","OT","Proveedor Asignado","Estado","Observaciones","Attachments","Tipo de tarea","Equipo","Tipo de Elemento"
"826","2/1/2024","AYACUCHO 1307","2","781141479","PEBCOM","Pendiente","Colocar terminal para traspasar el nodo","0","Cambio","Nodo Teco","Terminal"
"1058","2/22/2024","MARMOL, JOSE 972","5","796913558","PEBCOM","Pendiente de Traspaso PROPIO","Pendiente de traspaso nodo propio","1","Cambio","Nodo Teco","Pasante"
"1246","3/7/2024","ANCHORENA, TOMAS MANUEL DE, DR. 1378","2","782794907","Optical Power","Pendiente de Traspaso PROPIO","Nodo transferido, retirar columna","1","Cambio","Nodo Teco","Pasante"
"6092","3/15/2024","ASUNCION 2783","15","788792584","PEBCOM","Pendiente","Aplomar Columna","1","Aplomo","Sin equipos","Terminal"
"1497","4/4/2024","SANCHEZ DE BUSTAMANTE 2064","2","784804268","Optical Power","Pendiente","Equipo de TLC ya traspasado solo Retirar Columna","0","Cambio","Nodo TLC","Pasante"
"1928","5/5/2024","ARREGUI 3910","10","800645483","PEBCOM","Pendiente",,"1","Cambio","Sin equipos","Pasante"
"2098","5/24/2024","AZURDUY JUANA 2449","13","788826017","NEW","Pendiente","Terminal con rienda","1","Cambio","Sin equipos","Pasante"
"2369","7/4/2024","JARAMILLO 3976","12","790860572","PEBCOM","Pendiente",,"1","Cambio","Sin equipos","Terminal"
"2463","7/15/2024","PACHECO DE MELO, JOSE ANDRES 3066","2","795698153","Optical Power","Pendiente","Equipo de TLC ya traspasado solo Retirar Columna","1","Cambio","Nodo TLC","Pasante"
"1999","7/19/2024","Arenales 2096","2","791764767","Propio","Pendiente de Traspaso PROPIO","Traspaso y retiro","1","Cambio","Nodo Teco","Terminal"
"791897762","8/2/2024","Aristobulo del Valle 1707","4","791897762","Sin Asignar","Pendiente","Pendiente","1","Cambio","Sin equipos",
"2655","8/2/2024","VUELTA DE OBLIGADO 3687","13","791898287","PEBCOM","Pendiente de Traspaso PROPIO",,"1","Cambio","Nodo Teco","Pasante"
"2689","8/2/2024","ECHEVERRIA 2850","13","791898330","PEBCOM","Pendiente","Ver foto para ubicar no tiene nodo","1","Cambio","Sin equipos",
"2779","8/6/2024","GUEVARA 687","15","792041586","PEBCOM","Pendiente","Falta traspaso y retiro","1","Cambio","Sin equipos","Pasante"
"2805","8/6/2024","MCAL SOLANO LOPEZ 3110","15","792101640","Optical Power","Pendiente","Retirar columna. TLC ya traspaso nodo","1","Cambio","Nodo TLC","Pasante"
"793113815","8/12/2024","Correa 1935","13","793113815","Sin Asignar","Pendiente","Cambio de poste y retiro de acometidas en desuso. Tarea pasada por T.E","1","Cambio","Sin equipos",
"3154","8/27/2024","BRAVO, MARIO 853","5","795498456","Optical Power","Pendiente","Sacar la rienda de la plantera","1","Tensor","Sin equipos","Poste"
"1871","9/5/2024","Bulnes 1810","14","796016024","Optical Power","Pendiente","Equipo de TLC ya traspasado, solo Retirar Columna","1","Cambio","Nodo TLC","Pasante"
"3299","9/10/2024","DIAZ COLODRERO 3309","12","796186684","NEW","Pendiente","Colocar columna para solicitar traspasos","1","Cambio","Nodo TLC","Pasante"
"2800","9/10/2024","Anchorena 1288","2","796212149","PEBCOM","Pendiente","Faltan traspasar redes y desmontar","1","Cambio","Sin equipos","Terminal"
"3291","9/13/2024","GUISE 1933","14","796325224","Optical Power","Pendiente","Retirar columna ya traspasaron fuente propia","1","No corresponde","Fuente Teco",
"1545","9/26/2024","Anchorena Tomas Manuel de 1324","2","797379000","PEBCOM","Pendiente","Pendiente de retiro la vieja","1","Cambio","Sin equipos","Terminal"
"3659","10/2/2024","ALBERTI 59","3","797489950","PEBCOM","Pendiente de Traspaso PROPIO","Pendiente de Traspaso y Retiro PROPIO","1","Aplomo","Nodo Teco","Pasante"
"3722","10/4/2024","ALVEAR AV. 1866","2","797507868","PEBCOM","Pendiente","Entre Av Callao y Ayacucho - Columna inclinada de 168","1","Aplomo","Sin equipos",
"3765","10/16/2024","NAZCA AV. 1675","11","798295165","PEBCOM","Pendiente de Traspaso PROPIO","Columna con base picada","1","Cambio","Fuente Teco","Pasante"
"3830","10/23/2024","COLOMBRES 75","5","798385574","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"3839","10/23/2024","PICO 1511","13","798390296","NEW","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"798513070","10/23/2024","Pedro Ignacio Rivera 4750","12","798513070","Sin Asignar","Pendiente","Transferir red y retirar columna.","1","Cambio","Nodo TLC","Pasante"
"798513095","10/23/2024","Rincon 343","3","798513095","PEBCOM","Pendiente de Traspaso PROPIO","Picada","1","Cambio","Nodo Teco",
"3887","10/29/2024","ESTADO DE ISRAEL AV. 4819","5","798894281","Optical Power","Pendiente","Inclinado","1","Aplomo","Sin equipos","Terminal"
"3893","10/29/2024","HERRERA 402","4","798894295","Optical Power","Pendiente","Inclinado En el form cargaron foto de otro caso","1","Aplomo","Sin equipos","Terminal"
"798897149","10/16/2024","José Andrés Pacheco de Melo 2084","2","798897149","Sin Asignar","Pendiente","Pendiente de traspaso Fuente TECO y retiro de columna","1","Cambio","Fuente Teco",
"798897163","10/17/2024","Juncal 2932","2","798897163","Sin Asignar","Pendiente","Columna Picada y/o Perforada","1","Cambio","Sin equipos",
"798897384","10/17/2024","Peña 3142","2","798897384","Sin Asignar","Pendiente","Columna Picada y/o Perforada","1","Cambio","Sin equipos",
"798897458","10/15/2024","Rojas 1091","6","798897458","Sin Asignar","Pendiente","Columna fuera de plomo (inclinada)","1","Aplomo","Sin equipos",
"6097","11/5/2024","PINTO 3910","12","799244296","PEBCOM","Pendiente","Columna fuera de plomo inclinada Pinto y Garcia del Rio","1","Aplomo","Sin equipos",
"3938","11/5/2024","GODOY CRUZ 2604","14","799246642","Optical Power","Pendiente","Realizar traspasos y retiro de columna vieja","1","Aplomo","Sin equipos","Terminal"
"2126","11/7/2024","QUESADA 5290","12","799451046","PEBCOM","Pendiente","Picadada","1","Cambio","Sin equipos","Pasante"
"4022","11/12/2024","PARAGUAY 3629","14","799982164","PEBCOM","Pendiente","Colocar columna para solicitar traspasos","1","Aplomo","Nodo TLC","Pasante"
"4025","11/12/2024","MEXICO 4249","5","799981143","Optical Power","Pendiente","Ver foto, colocar columna para traspasar","1","Cambio","Nodo Teco","Pasante"
"4054","11/14/2024","AV AVELLANEDA 4020","10","800367019","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"800367117","11/14/2024","José Hernández 1610","13","800367117","Sin Asignar","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"800367140","11/14/2024","Piedras 1374","1","800367140","Sin Asignar","Pendiente","Picada","1","Cambio","Sin equipos",
"4109","11/19/2024","MOLDES 1971","13","798307407","PEBCOM","Pendiente de Traspaso PROPIO","Base picada","1","Cambio","Nodo Teco","Pasante"
"4220","11/28/2024","MARTINEZ, VICTOR 41","6","800810066","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"4222","11/28/2024","HUMAHUACA 4500","5","800810078","Optical Power","Pendiente","Columna con base corroída/oxidada","1","Cambio","Sin equipos","Pasante"
"4368","12/9/2024","FORMOSA 541","6","801243635","PEBCOM","Pendiente de Traspaso PROPIO","Traspaso y retiro de columna con Nodo Propio","1","Cambio","Nodo Teco","Pasante"
"801645024","12/13/2024","Fraga 1483","15","801645024","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645051","12/13/2024","Estomba 907","15","801645051","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645141","12/13/2024","Fraga 1501","15","801645141","Sin Asignar","Pendiente","Poste","0","Cambio","Sin equipos","Poste"
"801645368","12/13/2024","San Blas 1809","11","801645368","Sin Asignar","Pendiente","Picada","0","Cambio","Sin equipos","Pasante"
"801645382","12/13/2024","Fraga 1788","15","801645382","Sin Asignar","Pendiente","Aplomar","0","Aplomo","Nodo/Fuente Teco","Pasante"
"4423","12/18/2024","VERA 1081","15","801734625","PEBCOM","Pendiente","PICADA","1","Cambio","Sin equipos","Terminal"
"4426","12/19/2024","LORA, FELIX 27","6","801768138","Optical Power","Pendiente","Traspaso de redes y retiro de columna TLC ya traspaso el nodo","1","Cambio","Nodo TLC","Pasante"
"-3","1/5/2024","FIGUEROA ALCORTA PTE ,AV. /ALT/ 5600","14","777580740","AYKO","Pendiente","Es F. ALCORTA 5600 (pasando Av de los ombues 100mts aprox.) Para cambiar es un poste con muchas rajaduras, en Figueroa Alcorta esq. Av de los Ombues","0","Cambio","Sin equipos","Poste"
"-9","1/13/2024","SANTA FE ,AV. /ALT/ 5154","14","777843837","AYKO","Pendiente","cambio de columna la misma NO presenta riesgo de caída","0","Cambio","Sin equipos","Pasante"
"-10","1/15/2024","DARWIN /ALT/ 651","15","777863458","AYKO","Pendiente",,"0","Cambio","Sin equipos","Pasante"
"-15","1/25/2024","GUATEMALA /ALT/ 5933","14","778787388","AYKO","Pendiente","columna de 114mm de nuestra propiedad que esta quebrada en su base para remplazar ubicada en GUATEMALA 5933 ","0","Cambio","Sin equipos","Pasante"
"6243","1/30/2024","GARCIA, TEODORO 3252","13","779373118","Optical Power","Pendiente","Colocar R400 para posterior traspaso","1","Cambio","Fuente Teco","Pasante"
"-20","2/6/2024","CONSTITUCION /ALT/ 1739","1","780027603","INCO","Pendiente","Direccion correcta 1736","0",,,"Pasante"
"780035752","2/7/2024","BAEZ 489","14","780035752","INCO","Pendiente","Recambio de columna","1",,,"Pasante"
"-23","2/7/2024","FRENCH /ALT/ 2380","2","780043028","INCO","Pendiente",,"0",,,"Pasante"
"-28","2/20/2024","ZABALA /ALT/ 2836","13","780340125","INCO","Pendiente","ZABALA 2836 - Reemplazar C114","0",,,"Pasante"
"-30","2/21/2024","VEGA CNEL NICETO /ALT/ 4984","14","780352873","AYKO","Pendiente","Recambio de columna","0","Cambio","Sin equipos","Pasante"
"-34","2/26/2024","DORREGO ,AV. /ALT/ 2622","14","780713073","AYKO","Pendiente","Recambio de columna","1","Cambio","Sin equipos","Pasante"
"-43","3/11/2024","VELEZ SARSFIELD ,AV. /ALT/ 299","4","781392461","INCO","Pendiente","Poste metal cv con base con leve corrosión y superficie inclinada sin riesgo de caída ","0",,,"Pasante"
"-51","4/5/2024","CHARCAS /ALT/ 4176","14","782773317","Optical Power","Pendiente","columna de 114mm de nuestra propiedad que esta quebrada y en mal estado, para remplazar ubicada en CHARCAS 4176 ","0","Cambio","Nodo Teco","Pasante"
"-70","5/3/2024","AGUERO /ALT/ 2310","2","784675618","INCO","Pendiente",,"0",,,"Pasante"
"-71","5/3/2024","ANDONAEGUI /ALT/ 3696","12","784675639","INCO","Pendiente","Para cambiar columna fte al 3688","0",,,"Pasante"
"-100","6/11/2024","HUMBERTO PRIMO /ALT/ 1416","1","788000212","INCO","Pendiente","Cambio de columna.-","0",,,"Pasante"
"-103","6/12/2024","SALGUERO JERONIMO /ALT/ 2533","14","788206681","AYKO","Pendiente","Altura correcta 2549","0","Cambio","Sin equipos","Pasante"
